역번호,역      명,구분,계,일평균,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
226,사당(2),하차,17852345,48911,1391775,1412994,1623043,1540601,1508436,1493994,1438362,1421884,1531564,1357264,1534438,1597990
227,낙성대,승차,11139241,30518,878572,874362,1014039,959656,948649,939759,922042,905568,956722,842803,952798,944271
227,낙성대,하차,10685831,29276,848467,841643,982874,927618,911770,898753,879328,863891,911324,805553,918076,896534
228,서울대입구,승차,19292381,52856,1509896,1504462,1754266,1646919,1653429,1614956,1614454,1570658,1664749,1466422,1653509,1638661
228,서울대입구,하차,18811083,51537,1482751,1473819,1709888,1607769,1614879,1569894,1573172,1536697,1613229,1438466,1614854,1575665
229,봉천,승차,8532742,23377,670382,664136,756436,722932,721262,726244,719441,708804,730387,657637,729018,726063
229,봉천,하차,7831670,21457,621476,614676,697504,665340,660780,663117,658565,649367,664547,600537,669661,666100
230,신림,승차,25753706,70558,2084152,2065511,2304604,2191357,2192521,2150748,2129893,2100687,2164508,1977920,2172491,2219314
230,신림,하차,25217190,69088,2053643,2036381,2263292,2142392,2144393,2102315,2081442,2056924,2106432,1929528,2126451,2173997
231,신대방,승차,10480284,28713,826238,816276,920586,893184,898572,880806,869570,861864,902826,832993,893678,883691
231,신대방,하차,9912701,27158,785211,775997,875293,849218,848659,832674,821453,810055,847888,784534,848674,833045
232,구로디지털단지,승차,22799067,62463,1849061,1828893,2039176,1926777,1894354,1917843,1898171,1876236,1930342,1722707,1958958,1956549
232,구로디지털단지,하차,22817531,62514,1851608,1836673,2046364,1927493,1891147,1919605,1901762,1878531,1928487,1718100,1963666,1954095
233,대림(2),승차,11126590,30484,901674,877940,1007069,965002,959753,940579,917498,899324,925593,882319,927158,922681
233,대림(2),하차,11484297,31464,934940,907247,1038397,997529,989098,968102,947611,927727,953212,911196,956898,952340
234,신도림,승차,22316935,61142,1788044,1780654,1992969,1886638,1890099,1860042,1839915,1816640,1900035,1717334,1901616,1942949
234,신도림,하차,22311275,61127,1776753,1771337,1996317,1895235,1900312,1860440,1834542,1810918,1904232,1727465,1895655,1938069
235,문래,승차,6865372,18809,544515,551194,616474,577212,567373,580586,571890,567404,594291,512817,596506,585110
235,문래,하차,6970182,19096,552601,557758,622984,583427,576163,589063,581796,576736,605225,522309,606879,595241
236,영등포구청(2),승차,7866524,21552,620991,622070,708578,671690,657862,669909,652226,641606,676509,581319,688470,675294
236,영등포구청(2),하차,7963964,21819,623697,625108,713699,678035,666866,679290,661978,648704,687841,590410,700063,688273
237,당산,승차,7794660,21355,589075,600382,708405,697037,677133,673163,626112,618351,683577,591869,672135,657421
237,당산,하차,8789672,24081,662706,674741,798314,784218,757685,755730,709879,697973,769672,671818,763807,743129
238,합정(2),승차,12011478,32908,954754,960687,1055597,1010981,1014633,1013830,997615,991333,1013825,928422,1018324,1051477
238,합정(2),하차,12846288,35195,987731,1004181,1114478,1075320,1090223,1091741,1068031,1066212,1097485,1005095,1103916,1141875
239,홍대입구,승차,28675429,78563,2391370,2446900,2498660,2328318,2485850,2281477,2357431,2384120,2306912,2287374,2330104,2576913
239,홍대입구,하차,30654063,83984,2536858,2622814,2661135,2470674,2654419,2446128,2523446,2553239,2480783,2445087,2472318,2787162
240,신촌,승차,18149152,49724,1460871,1480810,1691094,1518641,1561895,1456320,1542763,1444401,1514061,1344575,1550168,1583553
240,신촌,하차,18434061,50504,1482116,1499948,1700150,1535869,1583498,1477098,1568874,1478420,1548231,1371990,1576039,1611828
241,이대,승차,7359538,20163,510997,537818,723139,673749,681647,611255,557315,523295,647563,574908,669980,647872
241,이대,하차,7815651,21413,536831,568488,777015,717123,730069,649384,582947,553806,696040,611869,713224,678855
242,아현,승차,3783932,10367,270953,272925,344760,327763,323477,316726,308444,304906,341305,302769,341926,327978
242,아현,하차,3624256,9929,258194,259760,330973,313272,309879,301779,293072,289358,326632,290122,333541,317674
243,충정로(2),승차,4198474,11503,331233,340100,383853,365529,352053,358691,343225,337439,359195,309736,364920,352500
243,충정로(2),하차,4471855,12252,352053,360695,411077,389920,377297,384093,364079,356368,382970,328201,389814,375288
244,용답,승차,1024216,2806,76426,73668,91310,87336,88171,86430,83498,81149,92474,84211,90960,88583
244,용답,하차,1032447,2829,76048,73370,94427,89095,89856,85778,81589,80553,93611,85780,93526,88814
245,신답,승차,507320,1390,37255,37227,43491,42218,43394,43984,41552,41579,46366,40694,45370,44190
245,신답,하차,569057,1559,43024,42371,48438,47329,48166,48525,46884,46730,51338,45412,51261,49579
246,신설동(2),승차,1509163,4135,117588,120403,135630,127635,122770,120095,119871,117179,131944,120966,133681,141401
246,신설동(2),하차,1437832,3939,111531,114175,126822,119444,112927,114659,117865,114284,126136,113526,128275,138188
247,도림천,승차,395464,1083,29023,28897,34841,34448,32195,33141,35131,33506,34480,28504,35679,35619
247,도림천,하차,444729,1218,32945,33034,40054,40222,36318,36767,38645,36515,38407,31823,40188,39811
248,양천구청,승차,2554752,6999,206007,202823,237445,223436,220752,214878,205254,197829,217496,195440,217734,215658
248,양천구청,하차,2674747,7328,215590,213483,249005,235297,230759,225194,215377,207898,226400,202277,228503,224964
249,신정네거리,승차,3586629,9826,290840,284283,326089,305964,308638,300326,292755,288866,305009,279083,300257,304519
249,신정네거리,하차,3668004,10049,297140,291115,332997,313675,315678,307724,300248,296142,310932,282291,308833,311229
250,용두,승차,849955,2329,69781,65563,74853,71254,70699,70324,71132,70128,74725,65066,72370,74060
250,용두,하차,882849,2419,72286,68636,77847,74015,73527,72236,73239,72145,77334,67911,76269,77404
309,지축,승차,443171,1214,36691,30028,35200,35890,37013,35508,34246,36598,42392,39387,40865,39353
309,지축,하차,488693,1339,38703,33055,38978,39858,41828,41022,39780,40534,46098,42434,42953,43450
310,구파발,승차,7442678,20391,590284,573466,659672,629803,644929,623428,619364,619470,625581,587503,635423,633755
310,구파발,하차,6724569,18423,524138,508740,586267,561269,578231,562190,564517,569197,571918,544974,576488,576640
311,연신내(3),승차,15647650,42870,1230765,1206635,1391777,1329555,1348250,1316988,1287334,1279275,1337708,1242052,1334609,1342702
311,연신내(3),하차,14762946,40446,1174666,1151669,1322091,1257316,1267474,1233737,1206408,1199176,1250157,1164883,1260336,1275033
312,불광(3),승차,7156667,19607,559622,553788,648474,609239,617782,602618,582355,582770,607999,571528,613443,607049
312,불광(3),하차,7814787,21410,613354,607592,710949,666785,677405,654341,634129,635009,657685,627416,668057,662065
313,녹번,승차,4761727,13046,379782,375454,429913,405830,408168,399021,385287,380161,407699,368915,412355,409142
313,녹번,하차,4111125,11263,330131,328537,377556,352819,351284,343767,329945,325311,349396,316944,355632,349803
314,홍제,승차,7360197,20165,571460,561891,687299,646257,647035,611464,580042,580629,636270,579054,638174,620622
314,홍제,하차,6992510,19158,542751,536984,660775,616690,612930,577393,545749,546379,601397,547749,610952,592761
315,무악재,승차,1562584,4281,123074,121767,140672,133270,133399,131668,127449,126474,134220,122205,135456,132930
315,무악재,하차,1569514,4300,122168,122747,143587,134628,133389,131131,127542,125996,134521,123254,137715,132836
316,독립문,승차,3005060,8233,215178,221363,277876,258006,263763,251132,236742,247909,263483,253606,263146,252856
316,독립문,하차,3097038,8485,219459,225775,286693,270941,276428,259319,238998,250386,270582,265839,273748,258870
317,경복궁,승차,9164894,25109,661695,705322,855861,798093,797587,754253,694068,707798,795463,800128,811786,782840
317,경복궁,하차,9528970,26107,682575,716224,879524,836812,849365,784160,720003,730645,831305,867045,827000,804312
318,안국,승차,9520622,26084,715689,752779,876443,838046,809771,773084,750309,761824,802553,795720,842974,801430
318,안국,하차,10199644,27944,753796,780968,933692,903082,884600,837086,803213,817865,867617,861229,899832,856664
319,종로3가(3),승차,3261934,8937,256715,265418,295254,266628,268696,272525,279658,268439,275184,239838,287085,286494
319,종로3가(3),하차,4357626,11939,334579,345786,382577,353067,360753,364422,370045,361132,371757,338400,381022,394086
320,을지로3가(3),승차,3431041,9400,260994,268416,307096,286948,274216,282921,286187,286435,293795,256940,313349,313744
320,을지로3가(3),하차,3759621,10300,297139,305264,341005,314231,302078,311377,312711,309831,318770,275911,336622,334682
322,동대입구,승차,4309498,11807,320504,304598,409162,413715,379604,360526,305650,311361,383933,349167,404666,366612
322,동대입구,하차,4885734,13386,352264,339215,471039,483985,443643,410409,335007,348834,439186,400479,456077,405596
323,약수(3),승차,5250847,14386,412837,413137,480165,452585,446627,443967,433118,426413,444890,401444,449809,445855
323,약수(3),하차,5064407,13875,395982,396640,459973,435739,428849,428733,418675,412252,430253,388874,437406,431031
324,금호,승차,3180281,8713,244143,243372,284224,272916,273084,270123,261737,258341,273618,249184,273953,275586
324,금호,하차,2936825,8046,226994,227008,264020,252924,252340,248303,242965,238519,249152,228391,253133,253076
325,옥수,승차,3774450,10341,287695,289634,338206,325473,327300,321297,313019,309356,327659,294643,321864,318304
325,옥수,하차,3921489,10744,297674,302228,357061,338179,341507,331522,329310,319472,336544,302995,333710,331287
326,압구정,승차,12349175,33833,1015452,1008099,1099116,1027603,1008636,1036818,1039285,1008247,1051996,921372,1041242,1091309
326,압구정,하차,13440446,36823,1107917,1098668,1193382,1120178,1096475,1123682,1121098,1093231,1149537,1003277,1136239,1196762
327,신사,승차,11166639,30594,907978,935638,998576,920058,906816,928257,932996,923870,935707,826299,944458,1005986
327,신사,하차,12065213,33055,978474,1008029,1075660,991007,976521,1005266,1003561,998723,1021558,898884,1017619,1089911
328,잠원,승차,2249515,6163,171455,172338,201364,192070,190894,191327,183622,180096,198639,173657,199166,194887
328,잠원,하차,2161300,5921,165361,166460,193481,184481,181987,182997,176797,174135,190191,166669,191683,187058
329,고속터미널(3),승차,22244281,60943,1785022,1809213,1871279,1824029,1917449,1785486,1866287,1878562,1845978,1770035,1843351,2047590
329,고속터미널(3),하차,21268256,58269,1744560,1734998,1794939,1747258,1846121,1716183,1775345,1773817,1745072,1680062,1754862,1955039
330,교대(3),승차,5317495,14568,408356,418829,495665,462971,447972,454908,438093,437929,472187,390257,457914,432414
330,교대(3),하차,3615286,9905,276439,284101,343189,322505,312118,313241,297869,293712,317363,266201,307055,281493
331,남부터미널,승차,12877288,35280,1063985,1066737,1144268,1077446,1071556,1049688,1044043,1054373,1088823,983522,1103637,1129210
331,남부터미널,하차,13276568,36374,1092547,1091430,1179420,1111709,1104698,1086092,1080670,1086611,1128594,1012365,1143963,1158469
332,양재,승차,14616514,40045,1155692,1180209,1343034,1268609,1214477,1237518,1188247,1154476,1271826,1046385,1288573,1267468
332,양재,하차,15604586,42752,1236096,1259472,1427242,1346317,1297049,1326207,1283461,1243319,1353909,1114189,1368353,1348972
333,매봉,승차,4073195,11159,336355,334831,376100,354102,342284,352626,339373,323319,340466,288366,345445,339928
333,매봉,하차,3913318,10721,326031,323387,362578,343402,331311,341938,328263,307639,323041,273694,328239,323795
334,도곡,승차,2464795,6753,190176,193531,227265,217490,210411,213190,202525,196950,209547,179940,212036,211734
334,도곡,하차,2360969,6468,181301,185728,219717,208784,199904,203102,191833,187234,199972,173281,204056,206057
335,대치,승차,4529936,12411,365846,360408,403590,368938,379318,378094,381190,383872,394765,353574,387828,372513
335,대치,하차,4323549,11845,347194,341806,386001,351767,361562,361291,362452,364473,376715,334317,376555,359416
336,학여울,승차,1097584,3007,87593,113249,97059,91941,118614,83188,80205,70917,91057,63534,87570,112657
336,학여울,하차,1128298,3091,89543,115122,100960,95193,120174,86256,82487,74049,94071,65744,90142,114557
337,대청,승차,3709015,10162,283640,284383,337645,318845,312707,316654,311792,310867,318465,277574,320828,315615
337,대청,하차,3294891,9027,253333,254031,299023,283403,277451,279700,278063,275391,280432,247228,285429,281407
338,일원,승차,3238073,8871,251656,253691,293256,278068,271411,276458,261789,261313,280940,243135,288760,277596
338,일원,하차,3334215,9135,264641,265424,303266,287206,278887,283437,271718,271398,285967,247889,293629,280753
339,수서,승차,6396320,17524,505932,492185,548557,535067,532671,534721,534673,517523,545121,505615,569230,575025
339,수서,하차,6288514,17229,491367,482638,539690,528821,524102,524310,530182,511313,540539,493624,557315,564613
340,가락시장(3),승차,3657001,10019,285605,280048,318511,306048,305761,307601,299684,294875,320814,282537,325656,329861
340,가락시장(3),하차,3554709,9739,277885,271669,310616,296633,296687,298970,290584,288184,313419,275123,315769,319170
341,경찰병원,승차,2760034,7562,224211,221878,250348,235008,228609,234095,226181,225527,234130,204234,237891,237922
341,경찰병원,하차,2740758,7509,224299,222686,249238,232581,225982,232476,224754,224982,231296,201366,234827,236271
342,오금(3),승차,2521074,6907,201421,194360,226584,218816,213850,214885,205857,203929,215249,191188,219441,215494
342,오금(3),하차,2261816,6197,180175,176987,203632,195816,190991,192140,184198,183648,193478,172129,196193,192429
409,당고개,승차,4981744,13649,391347,382342,442121,424985,438729,423435,414614,411539,427034,396381,414075,415142
409,당고개,하차,4712883,12912,368139,360073,416985,401590,414969,400639,394416,391514,402952,375678,393662,392266
410,상계,승차,7994540,21903,626644,613844,717074,683733,695565,682936,658769,644714,687716,624097,681723,677725
410,상계,하차,7145358,19576,560229,549106,640355,609819,617436,608397,592056,578291,614541,558408,611137,605583
411,노원(4),승차,8432496,23103,676812,670309,748884,706295,733854,701746,694228,684751,709399,662351,711998,731869
411,노원(4),하차,9485753,25988,762867,753148,841790,794088,823541,790087,781292,772581,800183,742758,799659,823759
412,창동,승차,10917498,29911,863494,842031,972767,932355,952071,926402,899376,883418,940385,855378,925252,924569
412,창동,하차,11634625,31876,924351,899950,1044788,997297,1015748,985179,953872,935333,999684,907504,987335,983584
413,쌍문,승차,12358702,33859,975265,958610,1103769,1055335,1070012,1052697,1022342,1003894,1050039,958064,1049665,1059010
413,쌍문,하차,10803543,29599,853804,841459,966993,920466,928708,914348,891068,874662,915204,837981,929536,929314
414,수유,승차,15973386,43763,1302143,1277197,1503465,1429799,1456643,1400615,1345269,1339129,1274634,1154293,1243993,1246206
414,수유,하차,15590249,42713,1271586,1251262,1472454,1394107,1418522,1367128,1316421,1310894,1232164,1113468,1217979,1224264
415,미아,승차,6865628,18810,538794,534850,637750,607749,609658,594333,564029,553288,575891,515681,568784,564821
415,미아,하차,6312046,17293,493840,489356,589252,558578,560139,546145,515974,506733,529047,472198,529212,521572
416,미아사거리,승차,11762793,32227,950879,934498,1060428,1014074,1029225,1008650,995867,975015,963719,885723,962768,981947
416,미아사거리,하차,11367947,31145,929116,914214,1037702,982846,994726,972675,958998,942400,919593,845862,926265,943550
417,길음,승차,9638320,26406,749267,740540,944589,887648,892211,843101,768699,755758,806513,708409,788814,752771
417,길음,하차,9258118,25365,709508,707948,917554,852349,860263,812253,734371,726481,772511,676020,767402,721458
418,성신여대입구,승차,9631521,26388,738098,738428,924887,857748,880555,828098,775380,767391,806850,712821,794671,806594
418,성신여대입구,하차,9028571,24736,695059,693970,854320,788098,805486,760479,723176,714402,766674,685858,762930,778119
419,한성대입구,승차,6116913,16759,436026,434589,574964,547365,561721,519458,462704,455089,550150,497372,546752,530723
419,한성대입구,하차,5837432,15993,416962,418989,550887,522290,536830,491085,437452,430605,522672,475936,524830,508894
420,혜화,승차,15593282,42721,1203344,1206848,1393980,1289000,1366837,1251715,1235951,1237445,1297966,1211388,1391278,1507530
420,혜화,하차,16297557,44651,1265811,1258752,1442969,1346670,1429788,1312748,1299392,1303774,1362221,1276579,1435549,1563304
421,동대문(4),승차,9257382,25363,692892,731142,851580,795755,826638,782075,766458,722428,775893,716644,803847,792030
421,동대문(4),하차,9308029,25501,710815,747275,860456,795008,825386,786613,769896,722637,782617,708050,801295,797981
422,동대문역사문화공원(4),승차,8556707,23443,667735,668424,766345,727044,733137,711159,714047,705793,697051,684250,734844,746878
422,동대문역사문화공원(4),하차,7807454,21390,605878,604767,696267,663922,676188,654967,651144,636616,642818,624575,670885,679427
423,충무로(4),승차,11707996,32077,890227,898761,1109420,1039942,993428,982893,915034,911099,1011938,895180,1052582,1007492
423,충무로(4),하차,12031646,32963,917925,923909,1117380,1060357,1018621,1015165,954491,948633,1043635,925131,1072517,1033882
424,명동,승차,14592473,39979,1161819,1166873,1367787,1263450,1206196,1151535,1110637,1169274,1196588,1198076,1261380,1338858
424,명동,하차,15747015,43143,1263939,1251589,1469117,1362556,1303297,1245821,1202920,1264023,1289839,1297982,1342278,1453654
425,회현,승차,11099331,30409,822903,886111,1040783,969042,992120,960739,906495,881152,925209,839520,937785,937472
425,회현,하차,11667479,31966,858180,913892,1081639,1015175,1050375,1015205,954574,930233,985759,888802,987868,985777
426,서울역(4),승차,4513174,12365,338938,348767,402926,380585,374557,379745,365585,369062,389619,353837,403999,405554
426,서울역(4),하차,7734905,21192,594280,593379,657971,647222,661718,653059,620291,634185,656182,632223,682705,701690
427,숙대입구,승차,6198081,16981,448599,449125,604413,561395,555304,534926,471077,455979,547483,476253,561141,532386
427,숙대입구,하차,6078797,16654,443403,444626,593601,550281,543168,520622,462650,447172,536620,465881,549744,521029
428,삼각지(4),승차,1894175,5190,148244,149622,169825,161926,159633,162468,156470,154661,163842,142316,163101,162067
428,삼각지(4),하차,2317336,6349,179248,182544,205689,197368,197089,199990,188370,188806,199063,177178,197796,204195
429,신용산,승차,4834998,13247,380528,377392,408619,383296,380725,388708,399215,406656,423711,382466,437579,466103
429,신용산,하차,5094381,13957,400647,399190,437277,406451,402734,408853,420970,428446,445885,399682,458566,485680
430,이촌,승차,3571318,9784,309286,288627,305914,297395,302594,295066,294402,312022,284243,270140,299862,311767
430,이촌,하차,3978086,10899,333703,315981,342763,334421,341677,331766,326810,343972,329946,301908,333037,342102
431,동작,승차,1204345,3300,87500,88629,106117,118129,122053,131617,93241,87198,105470,93620,90504,80267
431,동작,하차,1331533,3648,96178,96159,115265,134347,135160,145047,102679,96192,114947,105529,100301,89729
432,이수(총신대입구),승차,8046417,22045,637476,631723,726710,692334,693131,680059,655512,643978,686389,619841,686574,692690
432,이수(총신대입구),하차,9006076,24674,716422,711884,813789,775081,773605,759513,732550,719081,767047,689822,767857,779425
433,사당(4),승차,10876062,29797,857774,859084,996585,950151,937992,912516,875509,873690,931875,836299,924839,919748
433,사당(4),하차,9326840,25553,712482,724343,857199,816402,801122,783948,729290,726203,802624,720107,814334,838786
434,남태령,승차,986500,2703,48622,61649,80314,84492,77883,84562,74910,75295,102366,83078,106039,107290
434,남태령,하차,429865,1178,28579,29228,39693,38384,35408,38371,35454,35430,38314,33887,38381,38736
