사용일자,노선명,역명,승차총승객수,하차총승객수
2015-09-22,공항철도,서울역,9580,8003
2015-09-23,공항철도,서울역,9543,8309
2015-09-24,공항철도,서울역,10079,9392
2015-09-25,공항철도,서울역,12005,12188
2015-09-26,공항철도,서울역,8586,10737
2015-09-27,공항철도,서울역,10215,7960
2015-09-28,공항철도,서울역,11561,6881
2015-09-29,공항철도,서울역,12006,8914
2015-09-30,공항철도,서울역,10540,7609
2015-10-01,공항철도,서울역,9648,7891
2015-10-02,공항철도,서울역,11751,9192
2015-10-03,공항철도,서울역,11765,10129
2015-10-04,공항철도,서울역,9425,8517
2015-10-05,공항철도,서울역,9623,8328
2015-10-06,공항철도,서울역,9722,8002
2015-10-07,공항철도,서울역,9885,8050
2015-10-08,공항철도,서울역,12146,10036
2015-10-09,공항철도,서울역,11593,10423
2015-10-10,공항철도,서울역,10599,8769
2015-10-11,공항철도,서울역,10770,9555
2015-10-12,공항철도,서울역,10025,8592
2015-10-13,공항철도,서울역,9440,7878
2015-10-14,공항철도,서울역,9589,7833
2015-10-15,공항철도,서울역,9971,8020
2015-10-16,공항철도,서울역,11988,9839
2015-10-17,공항철도,서울역,11491,10135
2015-10-18,공항철도,서울역,10125,8725
2015-10-19,공항철도,서울역,9512,8228
2015-10-20,공항철도,서울역,9148,7807
2015-10-21,공항철도,서울역,9266,7536
2015-10-22,공항철도,서울역,9767,7987
2015-10-23,공항철도,서울역,12176,10000
2015-10-24,공항철도,서울역,12167,10594
2015-10-25,공항철도,서울역,10411,9109
2015-10-26,공항철도,서울역,9929,8579
2015-10-27,공항철도,서울역,9245,7872
2015-10-28,공항철도,서울역,9701,8002
2015-10-29,공항철도,서울역,9764,8087
2015-10-30,공항철도,서울역,12336,10006
2015-10-31,공항철도,서울역,11593,10109
2015-11-01,공항철도,서울역,10185,9306
2015-11-02,공항철도,서울역,9360,8042
2015-11-03,공항철도,서울역,9035,7463
2015-11-04,공항철도,서울역,9317,7948
2015-11-05,공항철도,서울역,9784,7855
2015-11-06,공항철도,서울역,12180,9677
2015-11-07,공항철도,서울역,10848,9301
2015-11-08,공항철도,서울역,9744,8540
2015-11-09,공항철도,서울역,9373,8240
2015-11-10,공항철도,서울역,9161,7758
2015-11-11,공항철도,서울역,9411,7766
2015-11-12,공항철도,서울역,9855,8320
2015-11-13,공항철도,서울역,12637,10195
2015-11-14,공항철도,서울역,12489,11118
2015-11-15,공항철도,서울역,11199,9660
2015-11-16,공항철도,서울역,9644,8224
2015-11-17,공항철도,서울역,9308,7694
2015-11-18,공항철도,서울역,9192,7684
2015-11-19,공항철도,서울역,9979,8014
2015-11-20,공항철도,서울역,12676,10187
2015-11-21,공항철도,서울역,11869,10350
2015-11-22,공항철도,서울역,10546,9266
2015-11-23,공항철도,서울역,9495,8407
2015-11-24,공항철도,서울역,9272,7744
2015-11-25,공항철도,서울역,9062,7478
2015-11-26,공항철도,서울역,9971,7934
2015-11-27,공항철도,서울역,11891,9697
2015-11-28,공항철도,서울역,11034,9997
2015-11-29,공항철도,서울역,10125,8740
2015-11-30,공항철도,서울역,9318,8108
2015-12-01,공항철도,서울역,8408,7090
2015-12-02,공항철도,서울역,8444,6933
2015-12-03,공항철도,서울역,9487,7667
2015-12-04,공항철도,서울역,11623,9624
2015-12-05,공항철도,서울역,10845,9936
2015-12-06,공항철도,서울역,9521,8197
2015-12-07,공항철도,서울역,9024,7875
2015-12-08,공항철도,서울역,8783,7445
2015-12-09,공항철도,서울역,9077,7301
2015-12-10,공항철도,서울역,9523,7594
2015-12-11,공항철도,서울역,11937,9667
2015-12-12,공항철도,서울역,11082,9745
2015-12-13,공항철도,서울역,9908,8369
2015-12-14,공항철도,서울역,9644,8153
2015-12-15,공항철도,서울역,9310,7864
2015-12-16,공항철도,서울역,9581,7757
2015-12-17,공항철도,서울역,9630,8193
2015-12-18,공항철도,서울역,12394,9957
2015-12-19,공항철도,서울역,11753,10802
2015-12-20,공항철도,서울역,10353,8600
2015-12-21,공항철도,서울역,10135,8858
2015-12-22,공항철도,서울역,10038,8314
2015-12-23,공항철도,서울역,10587,8780
2015-12-24,공항철도,서울역,12475,10390
2015-12-25,공항철도,서울역,10340,9262
2015-12-26,공항철도,서울역,10612,8981
2015-12-27,공항철도,서울역,11009,9280
2015-12-28,공항철도,서울역,10690,8970
2015-12-29,공항철도,서울역,10288,8440
2015-12-30,공항철도,서울역,10829,9343
2015-12-31,공항철도,서울역,12150,10686
2016-01-01,공항철도,서울역,8742,7742
2016-01-02,공항철도,서울역,9700,7582
2016-01-03,공항철도,서울역,10843,8478
2016-01-04,공항철도,서울역,9579,7832
2016-01-05,공항철도,서울역,8911,7280
2016-01-06,공항철도,서울역,8904,7352
2016-01-07,공항철도,서울역,9207,7822
