사용일자,노선명,역명,승차총승객수,하차총승객수
2016-01-18,경의선,서울역,3284,3874
2016-01-19,경의선,서울역,2914,3353
2016-01-20,경의선,서울역,3162,3387
2016-01-21,경의선,서울역,3257,3636
2016-01-22,경의선,서울역,3493,3855
2016-01-23,경의선,서울역,1648,1572
2016-01-24,경의선,서울역,1160,857
2016-01-25,경의선,서울역,3136,3399
2016-01-26,경의선,서울역,3233,3624
2016-01-27,경의선,서울역,3257,3608
2016-01-28,경의선,서울역,3257,3687
2016-01-29,경의선,서울역,3558,3989
2016-01-30,경의선,서울역,1787,1756
2016-01-31,경의선,서울역,1435,1043
2016-02-01,경의선,서울역,3094,3651
2016-02-02,경의선,서울역,3121,3448
2016-02-03,경의선,서울역,3128,3480
2016-02-04,경의선,서울역,3130,3564
2016-02-05,경의선,서울역,3254,3971
2016-02-06,경의선,서울역,1340,1620
2016-02-07,경의선,서울역,1479,1235
2016-02-08,경의선,서울역,1758,1267
2016-02-09,경의선,서울역,1776,958
2016-02-10,경의선,서울역,1926,1127
2016-02-11,경의선,서울역,3484,3599
2016-02-12,경의선,서울역,3262,3706
2016-02-13,경의선,서울역,1771,1694
2016-02-14,경의선,서울역,1406,1109
2016-02-15,경의선,서울역,3329,3823
2016-02-16,경의선,서울역,3383,3862
2016-02-17,경의선,서울역,3501,3777
2016-02-18,경의선,서울역,3598,4067
2016-02-19,경의선,서울역,3667,4324
2016-02-20,경의선,서울역,1918,1836
2016-02-21,경의선,서울역,1570,1287
2016-02-22,경의선,서울역,3533,4139
2016-02-23,경의선,서울역,3507,3976
2016-02-24,경의선,서울역,3425,3979
2016-02-25,경의선,서울역,3640,4222
2016-02-26,경의선,서울역,3784,4432
2016-02-27,경의선,서울역,2058,2017
2016-02-28,경의선,서울역,1605,1343
2016-02-29,경의선,서울역,3314,3793
2016-03-01,경의선,서울역,1521,1246
2016-03-02,경의선,서울역,3392,4065
2016-03-03,경의선,서울역,3465,4082
2016-03-04,경의선,서울역,3806,4253
2016-03-05,경의선,서울역,1607,1560
2016-03-06,경의선,서울역,1556,1203
2016-03-07,경의선,서울역,3584,4239
2016-03-08,경의선,서울역,3398,4106
2016-03-09,경의선,서울역,3337,3995
2016-03-10,경의선,서울역,3446,4132
2016-03-11,경의선,서울역,3735,4339
2016-03-12,경의선,서울역,1837,1812
2016-03-13,경의선,서울역,1427,1134
2016-03-14,경의선,서울역,3644,4530
2016-03-15,경의선,서울역,3546,4101
2016-03-16,경의선,서울역,3454,4168
2016-03-17,경의선,서울역,3642,4341
2016-03-18,경의선,서울역,3905,4560
2016-03-19,경의선,서울역,2225,1950
2016-03-20,경의선,서울역,1568,1304
2016-03-21,경의선,서울역,3577,4446
2016-03-22,경의선,서울역,3593,4153
2016-03-23,경의선,서울역,3543,4250
2016-03-24,경의선,서울역,3502,4273
2016-03-25,경의선,서울역,3838,4502
2016-03-26,경의선,서울역,1990,1838
2016-03-27,경의선,서울역,1569,1313
2016-03-28,경의선,서울역,3681,4388
2016-03-29,경의선,서울역,3557,4240
2016-03-30,경의선,서울역,3634,4109
2016-03-31,경의선,서울역,3574,4214
