탑승일자,버스정류장ARS번호,총승객수,승차총승객수,하차총승객수
2015-03-10,02003,2293.0,533.0,1760.0
2015-03-10,02006,7530.0,4583.0,2947.0
2015-03-10,02282,54.0,15.0,39.0
2015-03-11,02003,2481.0,562.0,1919.0
2015-03-11,02006,7564.0,4612.0,2952.0
2015-03-11,02282,104.0,20.0,84.0
2015-03-12,02003,2392.0,572.0,1820.0
2015-03-12,02006,7894.0,4909.0,2985.0
2015-03-12,02282,100.0,26.0,74.0
2015-03-13,02003,2716.0,680.0,2036.0
2015-03-13,02006,8399.0,5351.0,3048.0
2015-03-13,02282,199.0,51.0,148.0
2015-03-14,02003,1824.0,549.0,1275.0
2015-03-14,02006,6946.0,4438.0,2508.0
2015-03-14,02282,587.0,112.0,475.0
2015-03-15,02003,1741.0,531.0,1210.0
2015-03-15,02006,6118.0,3889.0,2229.0
2015-03-15,02282,485.0,116.0,369.0
2015-03-16,02003,2359.0,546.0,1813.0
2015-03-16,02006,8098.0,5059.0,3039.0
2015-03-16,02282,156.0,21.0,135.0
2015-03-17,02003,2372.0,585.0,1787.0
2015-03-17,02006,7931.0,4937.0,2994.0
2015-03-17,02282,104.0,28.0,76.0
2015-03-18,02003,2301.0,540.0,1761.0
2015-03-18,02006,7363.0,4577.0,2786.0
2015-03-18,02282,85.0,40.0,45.0
2015-03-19,02003,2484.0,675.0,1809.0
2015-03-19,02006,8114.0,5007.0,3107.0
2015-03-19,02282,193.0,24.0,169.0
2015-03-20,02003,2639.0,656.0,1983.0
2015-03-20,02006,8643.0,5433.0,3210.0
2015-03-20,02282,246.0,39.0,207.0
2015-03-21,02003,2006.0,654.0,1352.0
2015-03-21,02006,6832.0,4343.0,2489.0
2015-03-21,02282,690.0,152.0,538.0
2015-03-22,02003,1488.0,433.0,1055.0
2015-03-22,02006,5782.0,3816.0,1966.0
2015-03-22,02282,308.0,91.0,217.0
2015-03-23,02003,2337.0,547.0,1790.0
2015-03-23,02006,8022.0,4911.0,3111.0
2015-03-23,02282,111.0,22.0,89.0
2015-03-24,02003,2416.0,575.0,1841.0
2015-03-24,02006,8124.0,5040.0,3084.0
2015-03-24,02282,109.0,23.0,86.0
2015-03-25,02003,2444.0,600.0,1844.0
2015-03-25,02006,7890.0,4832.0,3058.0
2015-03-25,02282,174.0,26.0,148.0
