사용일자,노선명,역명,승차총승객수,하차총승객수
2015-10-25,1호선,서울역,53007,44060
2015-10-26,1호선,서울역,64379,58814
2015-10-27,1호선,서울역,61380,56384
2015-10-28,1호선,서울역,63915,57952
2015-10-29,1호선,서울역,65263,58841
2015-10-30,1호선,서울역,77222,66594
2015-10-31,1호선,서울역,67387,59528
2015-11-01,1호선,서울역,53097,45172
2015-11-02,1호선,서울역,62503,57246
2015-11-03,1호선,서울역,61934,57260
2015-11-04,1호선,서울역,61967,56370
2015-11-05,1호선,서울역,65201,59350
2015-11-06,1호선,서울역,76268,68347
2015-11-07,1호선,서울역,63439,54190
2015-11-08,1호선,서울역,49462,40429
2015-11-09,1호선,서울역,64146,58073
2015-11-10,1호선,서울역,63642,58988
2015-11-11,1호선,서울역,64585,58797
2015-11-12,1호선,서울역,65189,59471
2015-11-13,1호선,서울역,81440,69552
2015-11-14,1호선,서울역,83959,70162
2015-11-15,1호선,서울역,58876,49857
2015-11-16,1호선,서울역,64736,58200
2015-11-17,1호선,서울역,62798,57409
2015-11-18,1호선,서울역,63074,56770
2015-11-19,1호선,서울역,65287,58810
2015-11-20,1호선,서울역,78702,68608
2015-11-21,1호선,서울역,72410,63237
2015-11-22,1호선,서울역,56908,48158
2015-11-23,1호선,서울역,64319,58544
2015-11-24,1호선,서울역,63772,57480
2015-11-25,1호선,서울역,64117,57201
2015-11-26,1호선,서울역,67333,60305
2015-11-27,1호선,서울역,77423,66724
2015-11-28,1호선,서울역,63673,56193
2015-11-29,1호선,서울역,50716,40964
2015-11-30,1호선,서울역,62340,56914
2015-12-01,1호선,서울역,61382,55862
2015-12-02,1호선,서울역,59125,53480
2015-12-03,1호선,서울역,66164,59230
2015-12-04,1호선,서울역,75678,66628
2015-12-05,1호선,서울역,66445,58491
2015-12-06,1호선,서울역,49706,41095
2015-12-07,1호선,서울역,62912,56748
2015-12-08,1호선,서울역,63208,56963
2015-12-09,1호선,서울역,62883,56927
2015-12-10,1호선,서울역,64406,58223
2015-12-11,1호선,서울역,76838,66597
2015-12-12,1호선,서울역,66564,57545
2015-12-13,1호선,서울역,50354,41219
2015-12-14,1호선,서울역,65723,59241
2015-12-15,1호선,서울역,64840,58033
2015-12-16,1호선,서울역,66110,58770
2015-12-17,1호선,서울역,68077,60332
2015-12-18,1호선,서울역,80005,68790
2015-12-19,1호선,서울역,71762,61072
2015-12-20,1호선,서울역,53693,45005
2015-12-21,1호선,서울역,68426,61715
2015-12-22,1호선,서울역,68952,61614
2015-12-23,1호선,서울역,70809,62455
2015-12-24,1호선,서울역,76303,68185
2015-12-25,1호선,서울역,56829,51742
