역번호,역      명,구분,계,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월
246,신설동(2),하차,1408692,125107,108075,127271,123952,121734,115399,118075,108351,100553,115983,118008,126184
247,도림천,승차,339310,27943,23903,29415,29740,29213,27524,30536,28117,25908,29473,28947,28591
247,도림천,하차,378343,30688,26598,33381,34130,32698,30239,33521,30613,28425,32816,32607,32627
248,양천구청,승차,2864316,239982,215431,252183,251188,259263,232825,239069,217923,216129,250450,244949,244924
248,양천구청,하차,3047293,256636,228935,269700,268188,273833,247742,254467,231549,229934,266206,260759,259344
249,신정네거리,승차,4187270,356258,318410,367626,364616,375337,341184,348343,328604,320885,360297,349470,356240
249,신정네거리,하차,4192803,361504,321041,370123,366258,372979,340698,348436,327442,318437,358409,349790,357686
250,용두,승차,813139,66084,60079,69942,68392,70900,65795,68989,64844,62644,69892,71659,73919
250,용두,하차,879521,72153,65399,75952,75522,75896,70748,74293,70237,67776,75547,77416,78582
309,지축,승차,513149,39781,35328,41989,44924,47699,45049,44442,43468,41279,48253,41110,39827
309,지축,하차,596926,47000,42189,50334,52789,55102,52561,52556,50119,46815,53961,47899,45601
310,구파발,승차,6205404,484232,437660,528900,537277,568637,511643,514226,501058,490892,565804,534938,530137
310,구파발,하차,4868721,364584,333790,413538,416699,446048,409097,402091,400173,388621,456716,423984,413380
311,연신내(3),승차,15146360,1240962,1123020,1317246,1303150,1357266,1242543,1256968,1210625,1168576,1327584,1280945,1317475
311,연신내(3),하차,14199423,1177121,1066598,1238250,1217975,1259797,1154721,1172948,1132668,1091722,1234832,1205065,1247726
312,불광(3),승차,7018245,560026,507438,611346,597814,622493,572564,579238,563316,546655,625815,609675,621865
312,불광(3),하차,7651947,610780,552824,666048,643141,679368,629903,627468,619600,598244,686201,661957,676413
313,녹번,승차,6027771,505875,451012,523360,523009,537421,490624,503521,474908,459683,521777,514308,522273
313,녹번,하차,5167142,433147,388033,451345,449604,459791,420486,429130,404389,395157,449072,440808,446180
314,홍제,승차,7624975,628036,565829,671989,668479,688645,617746,623647,593265,585604,666377,653847,661511
314,홍제,하차,7160611,595083,535654,634962,630080,644881,578582,582251,551880,546649,622650,614843,623096
315,무악재,승차,1695100,141319,127318,146123,145737,151389,138666,143379,134965,130268,146320,143148,146468
315,무악재,하차,1663489,139453,125538,144219,143414,147591,136352,140184,131465,128233,142098,141284,143658
316,독립문,승차,2860344,223866,205274,246685,240443,263779,238357,239660,235691,222879,253397,246740,243573
316,독립문,하차,2896469,223404,205672,253715,245074,269837,240840,239319,233677,225259,260358,250376,248938
317,경복궁,승차,8497701,637816,569468,728197,734647,824873,681909,668667,643510,665436,803142,787795,752241
317,경복궁,하차,9009688,659834,591882,772645,774317,900126,722352,704471,678024,712838,869428,835048,788723
318,안국,승차,9558889,746795,642313,800797,797957,889972,762119,791806,770656,734128,886853,876197,859296
318,안국,하차,10704904,819595,709002,895151,888773,1016340,866858,883508,869703,833958,1004840,971131,946045
319,종로3가(3),승차,3385044,287236,252422,285986,292902,293369,273619,290492,278981,251798,289756,291601,296882
319,종로3가(3),하차,3935786,324127,286680,330657,331686,341173,316245,335369,324865,294594,338024,342633,369733
320,을지로3가(3),승차,3537659,307094,267797,297252,298748,297995,274373,305113,283302,261211,308010,314131,322633
320,을지로3가(3),하차,3776634,328638,284248,319968,324194,321111,292963,327212,297749,277875,330381,332162,340133
322,동대입구,승차,4333776,313370,263773,386749,414446,424779,373986,328608,310459,343627,417335,392740,363904
322,동대입구,하차,4905587,343344,292237,449609,478243,495862,418913,358804,339548,395477,477034,447585,408931
323,약수(3),승차,5545461,457664,412033,477264,480388,489063,450105,471426,437785,424126,482378,473787,489442
323,약수(3),하차,5282386,440643,396297,456251,459357,464118,429359,449230,414521,402284,457611,450005,462710
324,금호,승차,3063054,254515,230792,260928,266024,272350,251546,257672,241673,236039,265342,259754,266419
324,금호,하차,2821207,237302,215123,248370,245125,247704,229461,235819,221682,214981,242838,238190,244612
325,옥수,승차,3869708,304989,282161,333174,334365,345367,321400,327726,309982,301905,346308,329838,332493
325,옥수,하차,3862013,305336,281366,331634,333497,343081,321765,328773,310524,300264,344105,329847,331821
326,압구정,승차,14412905,1284657,1122813,1244148,1199036,1222499,1167012,1244920,1161754,1052718,1203842,1220807,1288699
326,압구정,하차,15918095,1423090,1242739,1373497,1324611,1353385,1283388,1374529,1282908,1165890,1324881,1345478,1423699
327,신사,승차,11505427,963637,867380,982747,941424,973288,930310,972303,956806,866414,1000916,984322,1065880
327,신사,하차,12693638,1061007,949231,1076336,1037229,1079839,1028110,1074071,1059958,962855,1106296,1081959,1176747
328,잠원,승차,2214830,187663,164567,192163,190808,199301,180902,184727,171367,167786,193377,190575,191594
328,잠원,하차,2110781,179149,156236,182571,181254,188561,173933,174885,165588,159563,184783,181777,182481
329,고속터미널(3),승차,21402333,1778389,1735394,1849832,1709390,1853047,1721053,1735362,1789278,1656087,1760428,1803492,2010581
329,고속터미널(3),하차,23103141,1884765,1892081,1974800,1839755,2013696,1853726,1868830,1944293,1804198,1903764,1966050,2157183
330,교대(3),승차,5395655,443553,386860,473939,483518,483212,438053,464828,419986,407322,472934,461240,460210
330,교대(3),하차,4096017,333042,289837,364281,373170,372754,330571,348232,317002,311983,360897,349163,345085
331,남부터미널,승차,13647170,1161294,1067388,1199871,1137806,1181626,1081937,1138382,1123529,1043365,1153271,1169236,1189465
331,남부터미널,하차,14205631,1195291,1100972,1247247,1187824,1235513,1126949,1195382,1175883,1096504,1198548,1217329,1228189
332,양재,승차,15713331,1310887,1160361,1377559,1383624,1391811,1266205,1300987,1191874,1170202,1378556,1380675,1400590
332,양재,하차,16872632,1425865,1249405,1469153,1479830,1482478,1361224,1421804,1290805,1252254,1470515,1465840,1503459
333,매봉,승차,4341046,380987,333990,375015,374825,375489,345152,375130,337860,316898,374802,370158,380740
333,매봉,하차,4079619,357310,311932,348465,351580,353673,324504,356068,318828,297290,352679,347061,360229
334,도곡,승차,3099432,259972,231665,270230,269228,276926,251740,261845,237443,230608,267968,269882,271925
334,도곡,하차,2873013,245312,218680,255648,252216,256880,233832,241370,217383,210175,244322,246966,250229
335,대치,승차,4518207,386443,343966,394878,381396,395080,369530,391731,363304,344037,381566,382992,383284
335,대치,하차,4235887,363593,323599,371524,357510,372020,346367,367720,339863,320429,357010,359238,357014
336,학여울,승차,1130340,102254,97451,84420,94766,87206,83540,142706,79742,74685,86774,88359,108437
336,학여울,하차,1155453,103485,99552,84605,96322,89011,84931,147781,80879,76985,90482,90018,111402
